VisitorID,VisitorName,HasCG_Flag,CGTestStatus,CharacterBondEventID,CurrentVersion,ApprovalStatus,Notes
1,瞳孔の女,false,N/A,N/A,N/A,N/A,立ち絵のみ（CGなし）
2,道に迷った旅人,false,N/A,N/A,N/A,N/A,立ち絵のみ（CGなし）
3,双子の片割れ,true,NOT_STARTED,BondEvent_003,v1,待機中,主要14種、双子キャラ
4,名無し(初登場),true,NOT_STARTED,BondEvent_004,v1,待機中,再来訪者Stage1、初登場形態
5,影の歪んだ男,false,N/A,N/A,N/A,N/A,立ち絵のみ（CGなし）
6,産婆を探す妊婦,true,NOT_STARTED,BondEvent_006,v1,待機中,主要14種、人間キャラ
7,元職員の老婆,true,NOT_STARTED,BondEvent_007,v1,待機中,主要14種、灰色判定キャラ
8,喋らない少女,false,N/A,N/A,N/A,N/A,立ち絵のみ（CGなし）
9,蘇りの母,true,NOT_STARTED,BondEvent_009,v1,待機中,主要14種、偽物キャラ
10,二人連れの母子,false,N/A,N/A,N/A,N/A,立ち絵のみ（CGなし、複合判定）
11,鏡像の女,false,N/A,N/A,N/A,N/A,立ち絵のみ（CGなし）
12,声を模倣する者,false,N/A,N/A,N/A,N/A,立ち絵のみ（CGなし）
13,逃亡者の女,true,NOT_STARTED,BondEvent_013,v1,待機中,主要14種、最終局面キャラ
14,名無し・最終形態,true,NOT_STARTED,BondEvent_014,v1,待機中,再来訪者Stage4、最終形態
15,香水で気配を消す女,false,N/A,N/A,N/A,N/A,判定パズル拡張（CGなし）
16,名刺を忘れた商人,false,N/A,N/A,N/A,N/A,判定パズル拡張（CGなし）
17,嵐の夜なのに濡れていない来訪者,false,N/A,N/A,N/A,N/A,判定パズル拡張（CGなし）
18,施設の見学希望者,false,N/A,N/A,N/A,N/A,判定パズル拡張（CGなし）
19,動物を連れた女性,false,N/A,N/A,N/A,N/A,判定パズル拡張（CGなし）
20,二重に瞬きする男,false,N/A,N/A,N/A,N/A,判定パズル拡張（CGなし）
21,死亡記録のある老人,false,N/A,N/A,N/A,N/A,判定パズル拡張（CGなし）
22,配属記録のない職員,false,N/A,N/A,N/A,N/A,判定パズル拡張（CGなし）
23,教科書的な受け答えの少年,false,N/A,N/A,N/A,N/A,判定パズル拡張（CGなし）
24,杖を忘れた老婆,false,N/A,N/A,N/A,N/A,判定パズル拡張（CGなし）
25,影が1つしかない姉妹,false,N/A,N/A,N/A,N/A,判定パズル拡張（CGなし）
26,取引を申し出る男,false,N/A,N/A,N/A,N/A,判定パズル拡張（CGなし）
27,自分の声を録音していた女,false,N/A,N/A,N/A,N/A,判定パズル拡張（CGなし）
28,消えない蝋燭を持つ少女,false,N/A,N/A,N/A,N/A,判定パズル拡張（CGなし）
